ticket_id,subject,description,assigned_team
TKT00127,Cannot log into account,I enter my username and password but the login button doesn't respond.,Technical
TKT00487,Partnership inquiry,Our company is interested in a partnership opportunity.,General
TKT00134,Printer not responding,The printer shows as offline even though it's connected to the network. Please help as soon as possible.,Technical
TKT00333,Shipping status inquiry,My order shows shipped but the tracking number doesn't work.,General
TKT00377,Overcharged this month,My bill shows an extra charge I don't recognize.,Billing
TKT00306,Payment not processed,I made a payment three days ago but it still shows as pending.,Billing
TKT00095,Shipping status inquiry,My order shows shipped but the tracking number doesn't work.,General
TKT00365,Promo code not applied,I entered a discount code at checkout but was charged full price.,Billing
TKT00162,Return policy question,Can I return an item after 30 days if it's unopened?,General
TKT00418,Billing cycle question,When does my billing cycle start and end?,Billing
TKT00311,Printer not responding,The printer shows as offline even though it's connected to the network.,Technical
TKT00236,Subscription charge error,I was charged for a subscription I thought I canceled.,Billing
TKT00346,Payment not processed,I made a payment three days ago but it still shows as pending.,Billing
TKT00080,Files not syncing,My files are not syncing between my laptop and the cloud drive.,Technical
TKT00093,Feedback submission,I'd like to provide feedback on a recent purchase experience.,General
TKT00243,Shipping status inquiry,My order shows shipped but the tracking number doesn't work.,General
TKT00314,Promo code not applied,I entered a discount code at checkout but was charged full price.,Billing
TKT00273,Refund status inquiry,I requested a refund last week and haven't received confirmation.,Billing
TKT00203,Subscription charge error,I was charged for a subscription I thought I canceled.,Billing
TKT00214,Invoice discrepancy,The invoice amount doesn't match my plan pricing.,Billing
TKT00385,Software update failed,The update downloads but fails at 45 percent every time.,Technical
TKT00422,Account upgrade request,I want to upgrade from basic to premium plan mid-cycle. Please help as soon as possible.,General
TKT00138,Partnership inquiry,Our company is interested in a partnership opportunity.,General
TKT00218,Email delivery delay,Emails are taking several hours to arrive after being sent.,Technical
TKT00246,Cannot log into account,I enter my username and password but the login button doesn't respond.,Technical
TKT00386,Warranty information,Does this product come with a warranty and what does it cover? Please help as soon as possible.,General
TKT00189,Duplicate charge on card,There are two identical charges on my credit card statement.,Billing
TKT00248,Invoice discrepancy,The invoice amount doesn't match my plan pricing.,Billing
TKT00206,Product availability question,Do you have this product in the blue color variant?,General
TKT00014,Return policy question,Can I return an item after 30 days if it's unopened?,General
TKT00121,Overcharged this month,My bill shows an extra charge I don't recognize.,Billing
TKT00047,Promo code not applied,I entered a discount code at checkout but was charged full price.,Billing
TKT00405,Warranty information,Does this product come with a warranty and what does it cover?,General
TKT00110,Email delivery delay,Emails are taking several hours to arrive after being sent.,Technical
TKT00326,Connection timeout error,I keep getting a connection timeout when trying to access the dashboard.,Technical
